0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	DropInventory	
"Box of Kundun 5"	 10000	   100		  1		  0		    0		   0		1
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
4           2      0          0          1       1      1        1
4           4      0          0          1       1      1        1
4           10     0          0          1       1      1        1
4           13     0          0          1       1      1        1
5           1      0          0          1       1      1        1
5           4      0          0          1       1      1        1
2           8      0          0          1       1      1        1
5           14     0          0          1       1      1        1
6           4      0          0          1       1      1        1
6           6      0          0          1       1      1        1
6           7      0          0          1       1      1        1
7           5      0          0          1       1      1        1
8           5      0          0          1       1      1        1
9           5      0          0          1       1      1        1
10          5      0          0          1       1      1        1
11          5      0          0          1       1      1        1
7           9      0          0          1       1      1        1
end
