//Index   ItemIndex   ItemLevel   MonsterClass 	 TopHitCount  SpecialValue	G_Type	G_Num	Coin1	Coin2	Coin3   Comment
0         7179        0           *		 *            * 		0	0	0	0	0	//Box of Luck
1         *           *           55             3            * 		2	7	10	0	0       //Skeleton King
2         *           *           42             *            * 		0	0	0	0	0	//Red Dragon
3         7179        1           *              *            * 		0	0	0	0	0	//Star of Christmas
4         7179        3           *              *            *			0	0	0	0	0	//Heart of Love
5         7179        5           *              *            *         	0	0	0	0	0	//Silver Medal
6         7179        6           *              *            *         	0	0	0	0	0	//Gold Medal
7         7179        8           *              *            *         	0	0	0	0	0	//Box of Kundun 1
8         7179        9           *              *            *         	0	0	0	0	0	//Box of Kundun 2
9         7179        10          *              *            *         	0	0	0	0	0	//Box of Kundun 3
10        7179        11          *              *            *         	0	0	0	0	0	//Box of Kundun 4
11        7179        12          *              *            *         	1	1	0	0	0	//Box of Kundun 5
12        *           *           *              *            0          	0	0	0	0	0	//Blood Castle 1
13        *           *           *              *            1         	0	0	0	0	0	//Blood Castle 2
14        *           *           *              *            2         	0	0	0	0	0	//Blood Castle 3
15        *           *           *              *            3         	0	0	0	0	0	//Blood Castle 4
16        *           *           *              *            4         	0	0	0	0	0	//Blood Castle 5
17        *           *           *              *            5         	0	0	0	0	0	//Blood Castle 6
18        *           *           *              *            6         	0	0	0	0	0	//Blood Castle 7
19        *           *           *              *            7         	0	0	0	0	0	//Blood Castle 8
20        *           *           *              *            8         	0	0	0	0	0	//Chaos Castle 1
21        *           *           *              *            9         	0	0	0	0	0	//Chaos Castle 2
22        *           *           *              *            10         	0	0	0	0	0	//Chaos Castle 3
23        *           *           *              *            11         	0	0	0	0	0	//Chaos Castle 4
24        *           *           *              *            12         	0	0	0	0	0	//Chaos Castle 5
25        *           *           *              *            13         	0	0	0	0	0	//Chaos Castle 6
26        *           *           *              *            14         	0	0	0	0	0	//Chaos Castle 7
27        *           *           135            *            *         	0	0	0	0	0	//White Wizard
28        *           *           *              *            15         	0	0	0	0	0	//Starter Ring 40
29        *           *           *              *            16         	0	0	0	0	0	//Starter Ring 80
30        7179        7           *              *            *         	0	0	0	0	0	//Box of Heaven
31        7179        13          *              *            *         	0	0	0	0	0	//Blue Heart
32        *           *           275            *            *         	0	0	0	0	0	//Kundun
33        *           *           295            *            *         	0	0	0	0	0	//Erohim
34        *           *           *              *            17         	0	0	0	0	0	//Senior Mix
35        6176        *           *              *            *         	0	0	0	0	0	//Red Ribbon Box
36        6177        *           *              *            *         	0	0	0	0	0	//Green Ribbon Box
37        6178        *           *              *            *         	0	0	0	0	0	//Blue Ribbon Box
38        7200        0           *              *            *         	0	0	0	0	0	//Pink Chocolate Box
39        7201        0           *              *            *         	0	0	0	0	0	//Red Chocolate Box
40        7202        0           *              *            *         	0	0	0	0	0	//Blue Chocolate Box
41        7200        1           *              *            *         	0	0	0	0	0	//Purple Candy Box
42        7201        1           *              *            *         	0	0	0	0	0	//Red Candy Box
43        7202        1           *              *            *         	0	0	0	0	0	//Blue Candy Box
44        *           *           340            *            *         	0	0	0	0	0	//Dark Elf
45        *           *           349            *            *         	0	0	0	0	0	//Balgass
46        *           *           362            *            *         	0	0	0	0	0	//Maya Hand Left
47        *           *           363            *            *         	0	0	0	0	0	//Maya Hand Right
48        *           *           361            *            *         	0	0	0	0	0	//Nightmare
49        7213        *           *              *            *         	0	0	0	0	0	//Halloween Pumpkin
50        *           *           365            *            *         	0	0	0	0	0	//Fortune Pouch
51        7220        *           *              *            *         	0	0	0	0	0	//Game Master Box
52        7223        *           *              *            *         	0	0	0	0	0	//Green Mistery Box
53        7224        *           *              *            *         	0	0	0	0	0	//Pink Mistery Box
54        7225        *           *              *            *         	0	0	0	0	0	//Purple Mistery Box
55        *           *           *              *            18         	0	0	0	0	0	//Leo the Helper
56        *           *           *              *            19         	0	0	0	0	0	//Illusion Temple 1
57        *           *           *              *            20         	0	0	0	0	0	//Illusion Temple 2
58        *           *           *              *            21         	0	0	0	0	0	//Illusion Temple 3
59        *           *           *              *            22         	0	0	0	0	0	//Illusion Temple 4
60        *           *           *              *            23         	0	0	0	0	0	//Illusion Temple 5
61        *           *           *              *            24         	0	0	0	0	0	//Illusion Temple 6
62        *           *           413            *            *         	0	0	0	0	0	//Lunar Rabbit
63        7252        *           *              *            *         	0	0	0	0	0	//Cherry Blossom Box
64        *           *           *              *            25         	0	0	0	0	0	//Cherry Blossom Mix 1
65        *           *           *              *            26         	0	0	0	0	0	//Cherry Blossom Mix 2
66        *           *           *              *            27         	0	0	0	0	0	//Cherry Blossom Mix 3
67        *           *           459            *            *         	0	0	0	0	0	//Selupan
68        *           *           463            *            *         	0	0	0	0	0	//Fire Flame Ghost
69        *           *           *              *            28         	0	0	0	0	0	//Santa Claus
70        *           *           *              *            29         	0	0	0	0	0	//Lucky Coin 1
71        *           *           *              *            30         	0	0	0	0	0	//Lucky Coin 2
72        *           *           *              *            31         	0	0	0	0	0	//Lucky Coin 3
73        *           *           *              *            32         	0	0	0	0	0	//Chaos Card Mix 1 
74        *           *           *              *            33         	0	0	0	0	0	//Chaos Card Mix 2
75        *           *           *              *            34         	0	0	0	0	0	//Chaos Card Mix 3
76        *           *           *              *            35         	0	0	0	0	0	//Chaos Card Mix 4
77        *           *           *              *            36         	0	0	0	0	0	//Chaos Card Mix 5
78        *           *           *              *            37         	0	0	0	0	0	//Double Goer Silver Chest 1
79        *           *           *              *            38         	0	0	0	0	0	//Double Goer Silver Chest 2
80        *           *           *              *            39         	0	0	0	0	0	//Double Goer Silver Chest 3
81        *           *           *              *            40         	0	0	0	0	0	//Double Goer Silver Chest 4
82        *           *           *              *            41         	0	0	0	0	0	//Double Goer Silver Chest 5
83        *           *           *              *            42         	0	0	0	0	0	//Double Goer Golden Chest 1
84        *           *           *              *            43         	0	0	0	0	0	//Double Goer Golden Chest 2
