//Index   ItemMinIndex   ItemMaxIndex   Name                                 Rate   Comment
1         0000           2559           "Add Hunt MP"                        35     //General Weapon
2         0000           2559           "Add Hunt HP"                        35     //General Weapon
4         0000           2559           "Add Speed"                          10     //General Weapon
8         0000           2559           "Mul Physi Damage"                   10     //General Weapon
16        0000           2559           "Add Physi Damage By Level"          10     //General Weapon
32        0000           2559           "Add Excellent Damage Rate"          05     //General Weapon
1         2560           3071           "Add Hunt MP"                        35     //General Staff
2         2560           3071           "Add Hunt HP"                        35     //General Staff
4         2560           3071           "Add Speed"                          10     //General Staff
8         2560           3071           "Mul Magic Damage"                   10     //General Staff
16        2560           3071           "Add Magic Damage By Level"          10     //General Staff
32        2560           3071           "Add Excellent Damage Rate"          05     //General Staff
1         3072           3583           "Add Money Amount Drop Rate"         02     //General Shield
2         3072           3583           "Mul Defense Success Rate"           10     //General Shield
4         3072           3583           "Add Damage Reflect"                 10     //General Shield
8         3072           3583           "Add Damage Reduction"               10     //General Shield
16        3072           3583           "Mul MP"                             35     //General Shield
32        3072           3583           "Mul HP"                             33     //General Shield
1         3584           6143           "Add Money Amount Drop Rate"         00     //General Armor
2         3584           6143           "Mul Defense Success Rate"           10     //General Armor
4         3584           6143           "Add Damage Reflect"                 80     //General Armor
8         3584           6143           "Add Damage Reduction"               80     //General Armor
16        3584           6143           "Mul MP"                             10     //General Armor
32        3584           6143           "Mul HP"                             10     //General Armor
1         6147           6147           "Add Wing HP"                        30     //Wings of Spirit
2         6147           6147           "Add Wing MP"                        30     //Wings of Spirit
4         6147           6147           "Add Ignore Defense Rate"            20     //Wings of Spirit
8         6147           6147           "Add BP"                             10     //Wings of Spirit
16        6147           6147           "Add Speed"                          10     //Wings of Spirit
1         6148           6148           "Add Wing HP"                        30     //Wings of Soul
2         6148           6148           "Add Wing MP"                        30     //Wings of Soul
4         6148           6148           "Add Ignore Defense Rate"            20     //Wings of Soul
8         6148           6148           "Add BP"                             10     //Wings of Soul
16        6148           6148           "Add Speed"                          10     //Wings of Soul
1         6149           6149           "Add Wing HP"                        30     //Wings of Devil
2         6149           6149           "Add Wing MP"                        30     //Wings of Devil
4         6149           6149           "Add Ignore Defense Rate"            20     //Wings of Devil
8         6149           6149           "Add BP"                             10     //Wings of Devil
16        6149           6149           "Add Speed"                          10     //Wings of Devil
