//=========================================================================================================================================
// NPCS
//=========================================================================================================================================
0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
577            80             00         121            102            03             //Leina the General Goods Merchan
578            80             00         117            126            03             //Weapons Merchant Bolo
240            80             00         123            132            02             //Safety Guardian
240            80             00         122            096            03             //Safety Guardian
240            80             00         157            127            01             //Safety Guardian
end

//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================
2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
569            80             30         129            059            -1             //Venomous Chain Scorpion
569            80             30         127            066            -1             //Venomous Chain Scorpion
569            80             30         136            065            -1             //Venomous Chain Scorpion
569            80             30         139            073            -1             //Venomous Chain Scorpion
569            80             30         148            081            -1             //Venomous Chain Scorpion
569            80             30         166            066            -1             //Venomous Chain Scorpion
569            80             30         183            043            -1             //Venomous Chain Scorpion
569            80             30         194            042            -1             //Venomous Chain Scorpion
569            80             30         189            072            -1             //Venomous Chain Scorpion
569            80             30         179            089            -1             //Venomous Chain Scorpion
569            80             30         192            109            -1             //Venomous Chain Scorpion
569            80             30         183            122            -1             //Venomous Chain Scorpion
569            80             30         207            110            -1             //Venomous Chain Scorpion
569            80             30         213            097            -1             //Venomous Chain Scorpion
569            80             30         209            089            -1             //Venomous Chain Scorpion
569            80             30         185            100            -1             //Venomous Chain Scorpion
569            80             30         175            116            -1             //Venomous Chain Scorpion
569            80             30         152            070            -1             //Venomous Chain Scorpion
569            80             30         214            034            -1             //Venomous Chain Scorpion
569            80             30         226            103            -1             //Venomous Chain Scorpion
569            80             30         191            157            -1             //Venomous Chain Scorpion
569            80             30         172            156            -1             //Venomous Chain Scorpion
569            80             30         209            170            -1             //Venomous Chain Scorpion
569            80             30         163            178            -1             //Venomous Chain Scorpion
569            80             30         131            164            -1             //Venomous Chain Scorpion
569            80             30         112            184            -1             //Venomous Chain Scorpion
569            80             30         099            177            -1             //Venomous Chain Scorpion
569            80             30         093            185            -1             //Venomous Chain Scorpion
569            80             30         079            175            -1             //Venomous Chain Scorpion
569            80             30         062            123            -1             //Venomous Chain Scorpion
569            80             30         091            072            -1             //Venomous Chain Scorpion
569            80             30         089            067            -1             //Venomous Chain Scorpion
569            80             30         072            131            -1             //Venomous Chain Scorpion
569            80             30         089            118            -1             //Venomous Chain Scorpion
569            80             30         108            193            -1             //Venomous Chain Scorpion
570            80             30         132            067            -1             //Bone Scorpion
570            80             30         167            048            -1             //Bone Scorpion
