//=========================================================================================================================================
// NPCS
//=========================================================================================================================================
0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
259            27             00         007            019            02             //Oracle Layla
end

//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================
2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
193            27             30         030            075            -1             //Aegis
193            27             30         035            021            -1             //Aegis
193            27             30         028            017            -1             //Aegis
193            27             30         036            011            -1             //Aegis
193            27             30         051            011            -1             //Aegis
193            27             30         042            012            -1             //Aegis
193            27             30         045            022            -1             //Aegis
193            27             30         052            024            -1             //Aegis
193            27             30         053            017            -1             //Aegis
193            27             30         060            009            -1             //Aegis
194            27             30         067            022            -1             //Rogue Centurion
193            27             30         060            022            -1             //Aegis
194            27             30         069            009            -1             //Rogue Centurion
194            27             30         074            014            -1             //Rogue Centurion
194            27             30         082            008            -1             //Rogue Centurion
194            27             30         081            019            -1             //Rogue Centurion
194            27             30         086            013            -1             //Rogue Centurion
194            27             30         092            006            -1             //Rogue Centurion
194            27             30         096            016            -1             //Rogue Centurion
194            27             30         099            009            -1             //Rogue Centurion
194            27             30         109            019            -1             //Rogue Centurion
192            27             30         110            009            -1             //Blood Soldier
192            27             30         118            017            -1             //Blood Soldier
192            27             30         110            035            -1             //Blood Soldier
192            27             30         121            027            -1             //Blood Soldier
192            27             30         119            035            -1             //Blood Soldier
192            27             30         114            044            -1             //Blood Soldier
190            27             30         120            050            -1             //Death Angel
190            27             30         105            054            -1             //Death Angel
190            27             30         119            057            -1             //Death Angel
190            27             30         110            065            -1             //Death Angel
190            27             30         121            067            -1             //Death Angel
192            27             30         108            028            -1             //Blood Soldier
190            27             30         111            072            -1             //Death Angel
190            27             30         105            086            -1             //Death Angel
195            27             30         118            084            -1             //Necron
190            27             30         118            095            -1             //Death Angel
195            27             30         104            101            -1             //Necron
195            27             30         115            106            -1             //Necron
195            27             30         093            096            -1             //Necron
195            27             30         093            084            -1             //Necron
195            27             30         082            085            -1             //Necron
195            27             30         082            077            -1             //Necron
195            27             30         074            076            -1             //Necron
191            27             30         087            090            -1             //Death Centurion
191            27             30         068            077            -1             //Death Centurion
191            27             30         063            072            -1             //Death Centurion
191            27             30         058            078            -1             //Death Centurion
190            27             30         120            075            -1             //Death Angel
191            27             30         057            071            -1             //Death Centurion
196            27             30         032            050            -1             //Schriker
196            27             30         042            051            -1             //Schriker
196            27             30         038            058            -1             //Schriker
196            27             30         029            065            -1             //Schriker
196            27             30         046            066            -1             //Schriker
196            27             30         042            097            -1             //Schriker
196            27             30         037            109            -1             //Schriker
196            27             30         047            107            -1             //Schriker
196            27             30         053            093            -1             //Schriker
196            27             30         035            087            -1             //Schriker
197            27             30         026            076            -1             //Illusion of Kundun
end
