//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================
4
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
294            32             30         120            080            150          115          -1             35            //Ax Warrior
060            32             30         120            080            150          115          -1             35            //Bloody wolf
290            32             30         122            152            151          184          -1             35            //Lizard Warrior
057            32             30         122            152            151          184          -1             35            //Iron Wheel
434            32             30         050            138            079          173          -1             35            //Gigantis
435            32             30         050            138            079          173          -1             35            //Berserker
end

4
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
060            32             30         136            092            -1             //Bloody wolf
060            32             30         125            082            -1             //Bloody wolf
060            32             30         136            102            -1             //Bloody wolf
060            32             30         132            087            -1             //Bloody wolf
060            32             30         127            083            -1             //Bloody wolf
060            32             30         147            087            -1             //Bloody wolf
060            32             30         129            096            -1             //Bloody wolf
060            32             30         140            098            -1             //Bloody wolf
060            32             30         135            109            -1             //Bloody wolf
060            32             30         147            102            -1             //Bloody wolf
060            32             30         128            089            -1             //Bloody wolf
060            32             30         145            098            -1             //Bloody wolf
060            32             30         149            097            -1             //Bloody wolf
060            32             30         135            095            -1             //Bloody wolf
060            32             30         129            103            -1             //Bloody wolf
060            32             30         149            101            -1             //Bloody wolf
060            32             30         131            109            -1             //Bloody wolf
060            32             30         123            086            -1             //Bloody wolf
060            32             30         130            090            -1             //Bloody wolf
060            32             30         122            100            -1             //Bloody wolf
062            32             30         146            096            -1             //Mutant
062            32             30         130            105            -1             //Mutant
062            32             30         148            094            -1             //Mutant
062            32             30         134            087            -1             //Mutant
062            32             30         142            104            -1             //Mutant
062            32             30         145            102            -1             //Mutant
062            32             30         144            109            -1             //Mutant
062            32             30         128            085            -1             //Mutant
062            32             30         142            097            -1             //Mutant
062            32             30         136            094            -1             //Mutant
062            32             30         143            103            -1             //Mutant
062            32             30         129            097            -1             //Mutant
062            32             30         129            084            -1             //Mutant
062            32             30         135            095            -1             //Mutant
062            32             30         122            084            -1             //Mutant
062            32             30         140            100            -1             //Mutant
062            32             30         142            108            -1             //Mutant
062            32             30         146            091            -1             //Mutant
062            32             30         146            085            -1             //Mutant
062            32             30         146            100            -1             //Mutant
057            32             30         149            108            -1             //Iron Wheel
057            32             30         149            090            -1             //Iron Wheel
057            32             30         133            103            -1             //Iron Wheel
057            32             30         130            102            -1             //Iron Wheel
057            32             30         144            086            -1             //Iron Wheel
057            32             30         141            104            -1             //Iron Wheel
057            32             30         147            106            -1             //Iron Wheel
057            32             30         135            105            -1             //Iron Wheel
057            32             30         135            106            -1             //Iron Wheel
057            32             30         125            109            -1             //Iron Wheel
057            32             30         142            083            -1             //Iron Wheel
057            32             30         137            085            -1             //Iron Wheel
057            32             30         132            098            -1             //Iron Wheel
057            32             30         122            083            -1             //Iron Wheel
057            32             30         139            107            -1             //Iron Wheel
058            32             30         143            109            -1             //Tantalos
058            32             30         144            088            -1             //Tantalos
058            32             30         147            096            -1             //Tantalos
058            32             30         147            101            -1             //Tantalos
058            32             30         140            082            -1             //Tantalos
058            32             30         140            099            -1             //Tantalos
058            32             30         138            105            -1             //Tantalos
058            32             30         135            108            -1             //Tantalos
058            32             30         129            109            -1             //Tantalos
058            32             30         140            090            -1             //Tantalos
058            32             30         149            096            -1             //Tantalos
058            32             30         128            092            -1             //Tantalos
058            32             30         145            097            -1             //Tantalos
058            32             30         128            095            -1             //Tantalos
058            32             30         122            107            -1             //Tantalos
292            32             30         131            096            -1             //Queen Bee
292            32             30         138            090            -1             //Queen Bee
292            32             30         138            093            -1             //Queen Bee
292            32             30         132            094            -1             //Queen Bee
292            32             30         134            102            -1             //Queen Bee
292            32             30         125            091            -1             //Queen Bee
292            32             30         142            082            -1             //Queen Bee
292            32             30         143            105            -1             //Queen Bee
292            32             30         133            086            -1             //Queen Bee
292            32             30         137            090            -1             //Queen Bee
293            32             30         122            082            -1             //Poison Golem
293            32             30         124            100            -1             //Poison Golem
293            32             30         142            094            -1             //Poison Golem
293            32             30         125            090            -1             //Poison Golem
293            32             30         138            090            -1             //Poison Golem
293            32             30         131            098            -1             //Poison Golem
293            32             30         145            089            -1             //Poison Golem
293            32             30         125            092            -1             //Poison Golem
293            32             30         141            102            -1             //Poison Golem
293            32             30         131            086            -1             //Poison Golem
291            32             30         133            096            -1             //Fire Golem
291            32             30         125            107            -1             //Fire Golem
291            32             30         133            084            -1             //Fire Golem
291            32             30         133            105            -1             //Fire Golem
291            32             30         134            100            -1             //Fire Golem
291            32             30         123            086            -1             //Fire Golem
291            32             30         127            094            -1             //Fire Golem
291            32             30         149            101            -1             //Fire Golem
291            32             30         141            090            -1             //Fire Golem
291            32             30         140            106            -1             //Fire Golem
end

4
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
069            32             30         138            164            -1             //Alquamos
069            32             30         127            154            -1             //Alquamos
069            32             30         138            174            -1             //Alquamos
069            32             30         134            159            -1             //Alquamos
069            32             30         129            155            -1             //Alquamos
069            32             30         149            159            -1             //Alquamos
069            32             30         131            168            -1             //Alquamos
069            32             30         142            170            -1             //Alquamos
069            32             30         137            181            -1             //Alquamos
069            32             30         149            174            -1             //Alquamos
069            32             30         130            161            -1             //Alquamos
069            32             30         147            170            -1             //Alquamos
069            32             30         151            169            -1             //Alquamos
069            32             30         137            167            -1             //Alquamos
069            32             30         131            175            -1             //Alquamos
069            32             30         151            173            -1             //Alquamos
069            32             30         133            181            -1             //Alquamos
069            32             30         125            158            -1             //Alquamos
069            32             30         132            162            -1             //Alquamos
069            32             30         124            172            -1             //Alquamos
071            32             30         148            168            -1             //Mega Crust
071            32             30         132            177            -1             //Mega Crust
071            32             30         150            166            -1             //Mega Crust
071            32             30         136            159            -1             //Mega Crust
071            32             30         144            176            -1             //Mega Crust
071            32             30         147            174            -1             //Mega Crust
071            32             30         146            181            -1             //Mega Crust
071            32             30         130            157            -1             //Mega Crust
071            32             30         144            169            -1             //Mega Crust
071            32             30         138            166            -1             //Mega Crust
071            32             30         145            175            -1             //Mega Crust
071            32             30         131            169            -1             //Mega Crust
071            32             30         131            156            -1             //Mega Crust
071            32             30         137            167            -1             //Mega Crust
071            32             30         124            156            -1             //Mega Crust
071            32             30         142            172            -1             //Mega Crust
071            32             30         144            180            -1             //Mega Crust
071            32             30         148            163            -1             //Mega Crust
071            32             30         148            157            -1             //Mega Crust
071            32             30         148            172            -1             //Mega Crust
073            32             30         151            180            -1             //Drakan
073            32             30         151            162            -1             //Drakan
073            32             30         135            175            -1             //Drakan
073            32             30         132            174            -1             //Drakan
073            32             30         146            158            -1             //Drakan
073            32             30         143            176            -1             //Drakan
073            32             30         149            178            -1             //Drakan
073            32             30         137            177            -1             //Drakan
