0
//Index   Message
0         "Level: %d | R: %d"
1         "Reconnecting..."
2         "Logging in..."
3         "Waiting character list..."
4         "Waiting character info..."
5         "Premium Shop"
6         "Welcome to premium shop, %s!"
7         "Buy the premium status and get special vipers!"
8         "Not work with master experience and party!"
9         "Buy %s"
10        "Price:"
11        "WC: %d"
12        "WP: %d"
13        "GP: %d"
14        "Warning! By clicking the button, the vip will be bought!"
15        "Blood Castle:"
16        "Devil Square"
17        "Chaos Castle"
18        "Illusion Temple:"
19        "Online lottery:"
20        "Custom Quiz:"
21        "Custom Bonus:"
22        "Custom Arena:"
23        "Custom Drop:"
24        "King of Mu:"
25        "Events"
26        "Buy VIP"
27        "Ranking"
28        "Commands"
29        "Item Bank"
30        "Search Store/Party"
31        "Search Party"
32        "Search Store"
33        "Luck Wheel"
34        "LevelUp Type"
44        "Flag System"
45        "Buy Value: %s Zen"
46        "Buy Value: %s WC"
47        "Buy Value: %s WP"
48        "Buy Value: %s GP"
49        "Sell Value: %s Zen"
50	  "Finances:"
51	  "WC:"
52	  "WP:"
53	  "GP:"
54	  "Welcome!"
55        "Sell Value: %s WC"
56        "Sell Value: %s WP"
57        "Sell Value: %s GP"
58	  "WC"
59	  "WP"
60	  "GP"
61        "Sell Value: %s Jewel of Bless"
62        "Sell Value: %s Jewel of Soul"
63        "Sell Value: %s Jewel of Chaos"
64        "Value: %s"
65        "TvT Event:"
66        "Confirm"
67        "Would you really like to buy this item?"
68        "MResets:"
69        "To deposit use ctrl + right click!"
70        "Local:"
71        "[SELL] %s"
72        "Trade Window"
73        "Items for sale:"
74        "Quests"
75	  "Primary Quest"
76        "Secondary Quest"
77        "Requisites"
78	  "Reward"
79	  "No mission!"
80	  "All missions have been completed!"
81        "Free Account"                                                                                       
82        "Bronze Account"                                                                                     
83        "Silver Account"                                                                                     
84        "Gold Account"
85        "Obtain" 
86        "Kill" 
87        "Get Reward"
88        "Go back to the Quest Npc"
89        "Mission accomplished!"
90        "Next"
91        "Kill Count:"
92        "Special Buff"
93        "LevelUp Points:"
94        "Expericence:"
95        "Auction system"
96        "Auction items:"
97        "Current bid:"
98        "Offer %d WC"
99        "Offer %d WP"
100       "Offer %d GP"
101       "Ends in:"
102	  "Minimum offer:"
102	  "Minimum offer:"
103	  "You were the winner of the auction!"
104	  "Receive your prize"
105	  "Exit the Game?"
106	  "Options Menu"
107	  "Resolution:"
108	  "Font Size:"
109	  "Health Bar:"
110	  "Player:"
111	  "Monster:"
112	  "Custom Interface:"
113	  "Effect - Antilag:"
114	  "Static:"
115	  "Dynamic:"
116	  "Skill:"
117	  "Glow:"
118	  "Wings:"
119	  "Volume Level:"
120	  "AutoAttack:"
121	  "WhisperBeep:"
122	  "Select language:"
123	  "ENG"
124	  "POR"
125	  "SPN"
126	  "ON"
127	  "OFF"
128	  "[Ctrl Key Attack Enabled]"
129	  "[Ctrl Key Attack Disabled]"
130       "Reset(s): %d"
131       "Online"
132       "%d day(s)+"
133       "Loading %s"
134       "Events:"
135       "Time:"
136	  "Jewel of GemStone"
