//ItemIndex   	EffectIndex	EffectValue   EffectLevel	ColorR	ColorG	ColorB	Type	Size   CSide
  349           32077         	1             0             	2.5     0.5     0.5     9.0	0.5	0.0
//  10000         32077         	1             0             	2.5     0.5     0.5     9.0	0.5	0.0
//  10001         32077         	1             0             	2.5     0.5     0.5     9.0	0.5	0.0
 // 10016         32077         	1             0             	2.5     0.5     0.5     9.0	0.5	0.0

  8852        32077         14            0             	2.5     0.5     0.5     9.0	0.5	0.0
  8852        32077         7             0             	2.5     0.5     0.5     9.0	0.5	0.0
  8852        32077         21            0             	2.5     0.5     0.5     9.0	0.5	0.0

  8853        32371         14            0             1.00     0.70     0.20     0.0         0.1        0.2
  8853        32371         13            0             1.00     0.70     0.20     0.0         0.1        0.2
  8853        32371         12            0             1.00     0.70     0.20     0.0         0.1        0.2

  8853        32371         7             0             0.00     0.50     1.00     0.0         0.1        0.2
  8853        32371         6             0             0.00     0.50     1.00     0.0         0.1        0.2
  8853        32371         5             0             0.00     0.50     1.00     0.0         0.1        0.2

  8853        32371         21            0             0.20     0.80     0.30     0.0         0.1        0.2
  8853        32371         20            0             0.20     0.80     0.30     0.0         0.1        0.2
  8853        32371         19            0             0.20     0.80     0.30     0.0         0.1        0.2
end
